INSEE_COM;CLPE
02019;Saint-Quentin
02020;Vervins
02021;Vervins
02022;Soissons
02023;Château-Thierry
02024;Laon
02025;Saint-Quentin
02027;Laon
02028;Laon
02029;Saint-Quentin
02030;Saint-Quentin
02031;Vervins
02032;Saint-Quentin
02033;Laon
02034;Soissons
02035;Vervins
02036;Soissons
02037;Laon
02038;Vervins
02039;Laon
02040;Vervins
02041;Laon
02042;Château-Thierry
02043;Soissons
02044;Vervins
02046;Laon
02047;Laon
02048;Laon
02049;Laon
02050;Vervins
02051;Château-Thierry
02052;Laon
02053;Château-Thierry
02054;Soissons
02055;Vervins
02056;Laon
02057;Saint-Quentin
02058;Laon
02059;Laon
02060;Saint-Quentin
02061;Saint-Quentin
02062;Château-Thierry
02063;Saint-Quentin
02064;Soissons
02065;Saint-Quentin
02066;Saint-Quentin
02067;Vervins
02068;Vervins
02069;Vervins
02070;Vervins
02071;Soissons
02072;Laon
02073;Laon
02074;Laon
02075;Saint-Quentin
02076;Laon
02078;Laon
02079;Vervins
02080;Laon
02081;Laon
02082;Soissons
02083;Château-Thierry
02084;Château-Thierry
02085;Château-Thierry
02086;Laon
02087;Soissons
02088;Laon
02089;Soissons
02090;Soissons
02091;Soissons
02093;Laon
02094;Château-Thierry
02095;Saint-Quentin
02096;Laon
02097;Laon
02098;Château-Thierry
02099;Château-Thierry
02100;Saint-Quentin
02101;Laon
02102;Laon
02103;Vervins
02104;Laon
02105;Château-Thierry
02106;Laon
02107;Laon
02108;Laon
02109;Vervins
02110;Soissons
02111;Laon
02112;Saint-Quentin
02114;Château-Thierry
02115;Laon
02116;Vervins
02117;Saint-Quentin
02118;Soissons
02119;Château-Thierry
02120;Soissons
02121;Soissons
02122;Laon
02123;Saint-Quentin
02124;Saint-Quentin
02125;Château-Thierry
02126;Vervins
02127;Château-Thierry
02128;Laon
02129;Soissons
02130;Vervins
02131;Soissons
02132;Laon
02133;Laon
02134;Vervins
02135;Vervins
02136;Vervins
02137;Château-Thierry
02138;Soissons
